human_id,topic,intended_veracity,statement_ru,expert_1,expert_2,expert_3,physician_1,physician_2,physician_3,physician_4,physician_5,physician_6
23,lifestyle,False,Людям до 40 лет не нужно проверять уровень холестерина,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0
24,lifestyle,False,"Нужно избегать продуктов, содержащих холестерин",1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
25,lifestyle,True,Сахарозаменители снижают риск возникновения кариеса,3.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0
26,lifestyle,True,Некоторые виды сахарозаменителей повышают риск развития рака,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
27,lifestyle,False,Сахарозаменитель можно использовать как лекарство для похудения,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
28,lifestyle,False,Сахарозаменители вызывают диабет,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
29,vaccine,True,Серьезные побочные эффекты вакцин чрезвычайно редки,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
30,vaccine,True,"Редкие болезни появятся вновь, если не прививать население",3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
31,vaccine,False,"В вакцинах не будет необходимости, когда вырастет уровень санитарии и гигиены",1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
32,vaccine,False,"Большинство вакцин вызывают ряд опасных побочных эффектов, которые еще не известны.",1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
33,vaccine,True,Одновременное введение нескольких вакцин безопасно для иммунной системы ребенка,3.0,3.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0
34,vaccine,True,Возбудители инфекций могут пересекать границы государств,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
35,vaccine,False,"Если нет пандемий, то нет смысла прививаться от болезней.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,vaccine,False,Одновременное введение ребенку более одной вакцины пагубно влияет на его иммунную систему,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
37,vaccine,True,"В одной дозе вакцины ртути меньше, чем городской ребенок принимает с пищей, водой и воздухом в течение дня",2.0,3.0,3.0,1.0,3.0,0.0,99.0,3.0,3.0
38,vaccine,True,Многие инфекции могут распространяться независимо от степени нашей чистоплотности,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0
39,vaccine,False,"Лучше получить иммунитет в результате болезни, чем вакцинации.",1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
40,vaccine,False,"Вакцины содержат опасные для здоровья соединения, например, ртуть.",2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0
41,vaccine,True,Вакцина против кори-паротита-краснухи не вызывает аутизм,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
42,vaccine,True,Универсальной вакцины от гриппа не существует,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
43,vaccine,False,Некоторые вакцины являются надежной профилактикой аутизма,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
44,vaccine,False,Вакцины приводят к развитию у детей аутизма,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
45,vaccine,True,"Вакцинирование помогает избежать серьезных осложнений, вызываемых инфекционным заболеванием",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
46,vaccine,True,Вакцины могут вызывать аллергическую реакцию у некоторых людей,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
47,vaccine,False,Все вакцины являются гипоалергенными,1.0,1.0,1.0,1.0,1.0,1.0,99.0,2.0,2.0
48,vaccine,False,Использование любой вакцины приводит к аллергическим реакциям,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
49,vitamins,True,Витамин Д снижает риск развития некоторых видов рака.,1.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0
50,vitamins,True,Чрезмерное потребление витамина D приводит к отложению солей кальция в почках.,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0
51,vitamins,False,Витамин D снижает артериальное давление.,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
52,vitamins,False,Употребление витамина D усугубляет депрессию.,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,altMedicine,True,Регулярное употребление отвара шиповника может снизить риск сердечно-сосудистых заболеваний. ,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0
54,altMedicine,True,Чрезмерное употребление отвара шиповника может навредить слизистой оболочке желудка,2.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0
55,altMedicine,False,Отвар шиповника помогает в работе печени,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
56,altMedicine,False,Отвар шиповника повышает уровень сахара в крови,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
57,altMedicine,True,Употребление чеснока профилактирует раковые заболевания.,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0
58,altMedicine,True,Чрезмерное употребление чеснока может спровоцировать изжогу.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
59,altMedicine,False,Чеснок - эффективное средство укрепления иммунитета.,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0
60,altMedicine,False,Настой чеснока вызывает болезни сердца,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
61,lifestyle,True,Обработка фруктов соком алоэ увеличивет срок их хранения.,3.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0
62,lifestyle,True,Чрезмерное употребление алоэ может вызвать проблемы с пищеварительной системой.,0.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0
63,lifestyle,False,Алоэ помогает вылечиться от коронавируса,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
64,lifestyle,False,Употребление алоэ может спровоцировать рак пищевода,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
65,altMedicine,True,Регулярное употребление картофеля снижает уровень артериального давления.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,altMedicine,True,Употребление картофеля с ростками на клубне опасно для организма.,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
67,altMedicine,False,Зеленоватый картофель можно употреблять в пищу,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
68,altMedicine,False,Картофель вреден для пищеварительной системы,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
69,lifestyle,True,Занятия йогой снижают уровень холестерина,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
70,lifestyle,True,Занятия йогой травмоопасны,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
71,lifestyle,False,Занятия йогой помогают при лечении функциональных желудочно-кишечных расстройств ,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0
72,lifestyle,False,Занятия йогой вредна для суставов,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0
73,lifestyle,True,Веганская диета профилактирует сердечно-сосудистые заболевания.,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0
74,lifestyle,True,Веганская диета негативно сказывается на прочности костной массы.,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0
75,lifestyle,False,Рацион сыроеда способен обеспечить организм всеми необходимыми микроэлементами,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,lifestyle,False,Веганская диета повышает риск развития сердечно-сосудисых заболеваний.,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0
77,lifestyle,True,Курение помогает справиться с тревожностью,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
78,lifestyle,True,Пассивное курение увеличивает шанс развития рака легких,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
79,lifestyle,False,Электронные сиграеты не вызывают привыкания к никотину,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,lifestyle,False,Курение не опасно при беременности,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,altMedicine,True,Контрастный душ помогает восстановлению мышц после физических нагрузок,3.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0
82,altMedicine,True,Долгое принятие контрастного душа вызывает мышечное утомление,99.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0
83,altMedicine,False,Контрастный душ ускоряет выздоровление при вирусных заболеваниях,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
84,altMedicine,False,Контрастный душ ослабляет иммунитет,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,gmo,True,Продукты с ГМО безопасны для здоровья человека,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0
86,gmo,True,Генно-модифицированные растения быстрее истощают почву,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0
87,gmo,False,Продукты с ГМО не оставляют никакого следа в организме человека,2.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0
88,gmo,False,Генно-модифицированная трава убивает скот,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0
89,gmo,True,Продукты с ГМО не изменяют ДНК человека,3.0,3.0,3.0,3.0,2.0,0.0,3.0,0.0,3.0
90,gmo,True,Продукты с ГМО содержат несвойственные для них ДНК,3.0,2.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0
91,gmo,False,Все продукты с ГМО полезны для организма ,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
92,gmo,False,Продукты с ГМО опасны для здоровья,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0
93,gmo,True,"Генная модификация может придавать растениям полезные свойства, например, устойчивость к вредителям",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
94,gmo,True,Продукты с ГМО теряют во вкусовых качествах по сравнению с традиционными продуктами,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
95,gmo,False,Все продукты на основе ГМО проходят тщательную проверку,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0
96,gmo,False,Продукты  с ГМО вызывают мутации ,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0
97,gmo,True,В России существует эффективная система санитарного контроля за ГМО-продукцией.,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
98,gmo,True,Ежегодно в России выявляются незарегистрированные линии ГМО.,0.0,2.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0
99,gmo,False,Большинство ГМО-лекарственных препаратов эффективнее традицинонных.,99.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0
100,gmo,False,Продукты с ГМО приводят к бесплодию.,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0
101,lifestyle,True,Здоровый сон помогает поддерживать хорошее психоэмоциональное состояние,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
102,lifestyle,True,Длительное недосыпание может вызвать бессоницу,1.0,99.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
103,lifestyle,False,Время суток не имеет значения для качества сна,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,lifestyle,False,Длительный сон негативно сказывается на психоэмоциональном состоянии,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0
105,lifestyle,True,Пища с глютеном это источник пробиотиков,1.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0
106,lifestyle,True,Непереносимость глютена ведет к нарушению пищеварения,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
107,lifestyle,False,Исключение глютеносодержащих продуктов благотворно влияет на пищеварительную систему,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0
108,lifestyle,False,Глютен является одной из причин набора лишнего веса,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
109,lifestyle,True,Регулярное употребление протеина ускоряет рост мышечной массы у спортсменов,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
110,lifestyle,True,Некоторые добавки в смесях для протеиновых коктейлей несут вред для организма,3.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,1.0
111,lifestyle,False,"Протеиновые коктейли содержат не только белок, но и множество других полезных элементов",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
112,lifestyle,False,Спортивный протеин содержит искусственный белок (не натуральный),1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0
113,lifestyle,True,3% раствор перекиси водорода оказывает временное антисептическое действие,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
114,lifestyle,True,"3% раствор перекиси водорода недостаточен, чтобы убить все бактерии в ране",3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0
115,lifestyle,False,3% раствор перекиси водорода способен обеззараживать любую рану,99.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0
116,lifestyle,False,Передозировка 3% раствором перекиси водорода усугубляет воспалительные процессы,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0
117,altMedicine,True,Манту можно мочить,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0
118,altMedicine,True,"Туберкулез может поражать не только легкие, но и другие ткани организма",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
119,altMedicine,False,Туберкулез может пройти сам собой,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
120,altMedicine,False,Собачье мясо лечит туберкулез,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
