stmt,true_label,m_disp_rate,m_err_rate,key,fr_unanimous,fr_label,h_modal,h_agree,h_disp_rate,h_entropy
16,disputed,0.22446555819477435,0.7755344418052257,высокий уровень холестерина обычно сопровождается явными симптомами,True,false,false,0.4444444444444444,0.3333333333333333,0.965633607142825
17,false,0.47255369928400953,0.5011933174224343,любой холестерин вреден,True,false,false,1.0,0.0,-0.0
19,true,0.19041916167664671,0.19281437125748502,даже при нормальном весе уровень холестерина может быть высоким,True,true,true,1.0,0.0,-0.0
20,false,0.5053892215568863,0.5413173652694611,людям до 40 лет не нужно проверять уровень холестерина,True,false,false,0.6666666666666666,0.2222222222222222,0.7725068857142601
21,false,0.7976190476190477,0.8416666666666667,"нужно избегать продуктов, содержащих холестерин",False,false,disputed,0.5555555555555556,0.5555555555555556,0.6252993742043005
22,disputed,0.7547846889952153,0.2452153110047847,сахарозаменители снижают риск возникновения кариеса,True,disputed,disputed,0.5,0.5,0.946394630357186
23,disputed,0.960431654676259,0.039568345323741004,сахарозаменитель можно использовать как средство для похудения,True,disputed,false,0.6666666666666666,0.2222222222222222,0.7725068857142601
24,disputed,0.7720144752714113,0.22798552472858866,сахарозаменители вызывают диабет,True,disputed,false,0.7142857142857143,0.2857142857142857,0.5445684476282007
25,true,0.13663845223700122,0.14631197097944376,серьезные побочные эффекты вакцин чрезвычайно редки,False,disputed,true,0.6666666666666666,0.3333333333333333,0.5793801642856949
27,false,0.5566150178784267,0.5935637663885578,"в вакцинах не будет необходимости, когда вырастет уровень санитарии и гигиены",True,false,false,0.7777777777777778,0.1111111111111111,0.6223659728744494
28,false,0.43441636582430804,0.45126353790613716,"большинство вакцин вызывают ряд опасных побочных эффектов, которые еще не известны",True,false,false,0.7777777777777778,0.2222222222222222,0.482159360969681
29,true,0.19082125603864733,0.20652173913043478,одновременное введение нескольких вакцин безопасно для иммунной системы ребенка,True,true,true,0.875,0.125,0.34295098019812775
30,true,0.025029797377830752,0.03098927294398093,возбудители инфекций могут пересекать границы государств,True,true,true,1.0,0.0,-0.0
31,false,0.25921521997621877,0.28894173602853745,"если нет пандемий, то нет смысла прививаться от болезней",True,false,false,1.0,0.0,-0.0
32,false,0.31812725090036015,0.3637454981992797,одновременное введение ребенку более одной вакцины пагубно влияет на его иммунную систему,True,false,false,1.0,0.0,-0.0
33,true,0.7295673076923077,0.765625,"в одной дозе вакцины ртути меньше, чем городской ребенок принимает с пищей, водой и воздухом в течение дня",True,disputed,true,0.7142857142857143,0.14285714285714285,0.72483409150576
34,true,0.4451073985680191,0.45584725536992843,многие инфекции могут распространяться независимо от степени нашей чистоплотности,False,disputed,true,0.7777777777777778,0.1111111111111111,0.6223659728744494
35,false,0.4562874251497006,0.4874251497005988,"лучше получить иммунитет в результате болезни, чем вакцинации",True,false,false,0.7777777777777778,0.2222222222222222,0.482159360969681
36,true,0.01437125748502994,0.023952095808383235,вакцина против кори-паротита-краснухи не вызывает аутизм,True,true,true,0.8888888888888888,0.0,0.31752065714278016
37,true,0.41247002398081534,0.4364508393285372,универсальной вакцины от гриппа не существует,True,true,true,1.0,0.0,-0.0
38,false,0.1854066985645933,0.20095693779904306,некоторые вакцины являются надежной профилактикой аутизма,True,false,false,0.8571428571428571,0.14285714285714285,0.37330396038588726
40,true,0.023980815347721823,0.02877697841726619,"вакцинация помогает избежать серьезных осложнений, вызванных инфекционным заболеванием",True,true,true,1.0,0.0,-0.0
41,true,0.20933014354066987,0.21650717703349281,вакцины могут вызывать аллергическую реакцию у некоторых людей,True,true,true,1.0,0.0,-0.0
42,false,0.4332129963898917,0.44885679903730447,все вакцины являются гипоалергенными,True,false,false,0.75,0.25,0.5118595071429147
43,false,0.40240963855421685,0.43373493975903615,использование любой вакцины приводит к аллергическим реакциям,True,false,false,0.6666666666666666,0.3333333333333333,0.5793801642856949
44,false,0.9399038461538461,0.9975961538461539,витамин д снижает риск развития некоторых видов рака,True,disputed,true,0.5714285714285714,0.14285714285714285,0.8699155297736259
46,false,0.9663056558363418,0.9975932611311673,витамин d снижает артериальное давление,True,disputed,false,0.7777777777777778,0.1111111111111111,0.6223659728744494
47,false,0.7009569377990431,0.7177033492822966,употребление витамина d усугубляет депрессию,True,false,false,0.8888888888888888,0.0,0.31752065714278016
48,disputed,0.94377990430622,0.056220095693779906,регулярное употребление отвара шиповника может снизить риск сердечно-сосудистых заболеваний,True,disputed,false,0.375,0.25,0.9850568223215079
49,false,0.8488095238095238,0.8845238095238095,отвар шиповника повышает уровень сахара в крови,True,disputed,false,0.8571428571428571,0.14285714285714285,0.37330396038588726
50,disputed,0.9571938168846611,0.04280618311533888,употребление чеснока может профилактироватьт раковые заболевания,True,disputed,false,0.7142857142857143,0.14285714285714285,0.72483409150576
51,true,0.65906362545018,0.6674669867947179,чрезмерное употребление чеснока может спровоцировать изжогу,False,true,true,1.0,0.0,-0.0
53,true,0.9330143540669856,0.9485645933014354,обработка фруктов соком алоэ увеличивет срок их хранения,True,disputed,true,0.5,0.0,0.6309297535714574
54,true,0.5193236714975845,0.5241545893719807,чрезмерное употребление алоэ может вызвать проблемы с пищеварительной системой,False,true,true,0.75,0.0,0.5118595071429147
55,false,0.9132530120481928,0.9373493975903614,употребление алоэ может спровоцировать рак пищевода,True,disputed,false,1.0,0.0,-0.0
56,false,0.9591836734693877,0.992797118847539,регулярное употребление картофеля снижает уровень артериального давления,True,disputed,false,1.0,0.0,-0.0
57,true,0.6730769230769231,0.6995192307692307,употребление картофеля с ростками на клубне опасно для организма,False,disputed,false,0.5555555555555556,0.0,0.6252993742043005
58,disputed,0.53309265944645,0.46690734055354993,зеленоватый картофель можно употреблять в пищу,False,disputed,false,0.6666666666666666,0.2222222222222222,0.7725068857142601
59,false,0.8688327316486161,0.9061371841155235,картофель вреден для пищеварительной системы,True,disputed,false,0.8888888888888888,0.1111111111111111,0.31752065714278016
60,disputed,0.9567307692307693,0.04326923076923077,занятия йогой снижают уровень холестерина,True,disputed,disputed,0.4444444444444444,0.4444444444444444,0.965633607142825
62,disputed,0.9434416365824309,0.056558363417569195,занятия йогой помогают при лечении функциональных желудочно-кишечных расстройств,True,disputed,disputed,0.4444444444444444,0.4444444444444444,0.8783471047618534
63,disputed,0.937873357228196,0.06212664277180406,занятия йогой вредны для суставов,True,disputed,false,0.5555555555555556,0.3333333333333333,0.8527924884900404
64,disputed,0.9337349397590361,0.06626506024096386,веганская диета профилактирует сердечно-сосудистые заболевания,True,disputed,disputed,0.4444444444444444,0.4444444444444444,0.965633607142825
66,false,0.8057553956834532,0.8273381294964028,рацион сыроеда обеспечивает организм всеми необходимыми микроэлементами,False,false,false,1.0,0.0,-0.0
67,false,0.7165450121654501,0.7396593673965937,веганская диета повышает риск развития сердечно-сосудисых заболеваний,False,false,false,0.75,0.125,0.6695919455357792
69,true,0.008403361344537815,0.008403361344537815,пассивное курение увеличивает шанс развития рака легких,True,true,true,1.0,0.0,-0.0
70,false,0.3776978417266187,0.3932853717026379,электронные сиграеты не вызывают привыкания к никотину,True,false,false,1.0,0.0,-0.0
71,false,0.01920768307322929,0.031212484993997598,курение не опасно при беременности,True,false,false,1.0,0.0,-0.0
72,disputed,0.972520908004779,0.027479091995221028,контрастный душ помогает восстановлению мышц после физических нагрузок,True,disputed,true,0.875,0.0,0.34295098019812775
73,false,0.9591836734693877,0.9807923169267707,контрастный душ ускоряет выздоровление при вирусных заболеваниях,True,disputed,false,0.8888888888888888,0.0,0.31752065714278016
74,false,0.8301435406698564,0.8552631578947368,контрастный душ ослабляет иммунитет,True,disputed,false,1.0,0.0,-0.0
75,true,0.7958937198067633,0.8140096618357487,продукты с гмо безопасны для здоровья человека,True,disputed,true,0.5555555555555556,0.1111111111111111,0.8527924884900404
76,disputed,0.9328537170263789,0.0671462829736211,генно-модифицированные растения быстрее истощают почву,True,disputed,true,0.4,0.2,0.9602297178607612
77,true,0.8412887828162291,0.9809069212410502,продукты с гмо не оставляют никакого следа в организме человека,True,disputed,true,0.5714285714285714,0.14285714285714285,0.8699155297736259
78,false,0.8441247002398081,0.8525179856115108,генно-модифицированная трава убивает скот,True,disputed,false,0.5714285714285714,0.2857142857142857,0.8699155297736259
79,true,0.36678614097968937,0.4348864994026284,продукты с гмо не изменяют днк человека,True,true,true,0.8571428571428571,0.14285714285714285,0.37330396038588726
80,true,0.60381861575179,0.6778042959427207,продукты с гмо содержат несвойственные для них участки днк,True,disputed,true,0.5714285714285714,0.2857142857142857,0.8699155297736259
81,disputed,0.9676258992805755,0.03237410071942446,продукты с гмо полезны для организма,True,disputed,disputed,0.6666666666666666,0.6666666666666666,0.7725068857142601
82,false,0.6407185628742516,0.6479041916167665,продукты с гмо опасны для здоровья,True,false,false,0.4444444444444444,0.3333333333333333,0.965633607142825
83,true,0.03349282296650718,0.03588516746411483,"генная модификация может придавать растениям полезные свойства, например, устойчивость к вредителям",True,true,true,1.0,0.0,-0.0
84,false,0.9138755980861244,0.9294258373205742,продукты с гмо теряют во вкусовых качествах по сравнению с традиционными продуктами,True,disputed,false,0.6666666666666666,0.3333333333333333,0.5793801642856949
85,true,0.9183673469387755,0.9447779111644657,все продукты на основе гмо проходят тщательную проверку,True,disputed,true,0.7777777777777778,0.0,0.482159360969681
86,false,0.5186522262334536,0.5234657039711191,продукты с гмо вызывают мутации,True,false,false,0.6666666666666666,0.1111111111111111,0.7725068857142601
87,true,0.5252403846153846,0.5336538461538461,в россии существует система санитарного контроля за гмо-продукцией,False,disputed,true,0.7777777777777778,0.1111111111111111,0.6223659728744494
88,false,0.3904761904761905,0.4011904761904762,продукты с гмо приводят к бесплодию,True,false,false,0.7142857142857143,0.2857142857142857,0.5445684476282007
89,true,0.057279236276849645,0.06324582338902147,здоровый сон помогает поддерживать хорошее психоэмоциональное состояние,True,true,true,1.0,0.0,-0.0
90,disputed,0.7010804321728692,0.29891956782713086,длительное недосыпание может вызвать бессоницу,True,disputed,true,0.875,0.0,0.34295098019812775
91,false,0.548926014319809,0.568019093078759,время суток не имеет значения для качества сна,True,false,false,1.0,0.0,-0.0
92,disputed,0.9535160905840286,0.04648390941597139,длительный сон негативно сказывается на психоэмоциональном состоянии,True,disputed,true,0.625,0.125,0.8194483718728035
93,false,0.3847072879330944,0.42054958183990443,пища с глютеном это источник пробиотиков,True,false,false,0.75,0.0,0.5118595071429147
94,true,0.6191616766467066,0.6263473053892216,непереносимость глютена ведет к нарушению пищеварения,True,disputed,true,0.8888888888888888,0.1111111111111111,0.31752065714278016
95,false,0.9295942720763724,0.9892601431980907,исключение глютеносодержащих продуктов благотворно влияет на пищеварительную систему,True,disputed,false,0.6666666666666666,0.1111111111111111,0.7725068857142601
97,true,0.7655502392344498,0.784688995215311,регулярное употребление протеина ускоряет рост мышечной массы у спортсменов,True,disputed,true,0.8888888888888888,0.1111111111111111,0.31752065714278016
99,true,0.29066985645933013,0.29784688995215314,"протеиновые коктейли могут содержать не только белок, но и другие полезные элементы",True,true,true,1.0,0.0,-0.0
100,disputed,0.5406698564593302,0.45933014354066987,спортивный протеин содержит искусственный белок (не натуральный),False,false,false,0.6666666666666666,0.2222222222222222,0.7725068857142601
101,true,0.5197132616487455,0.5268817204301075,3% раствор перекиси водорода оказывает временное антисептическое действие,False,disputed,true,1.0,0.0,-0.0
102,true,0.6227544910179641,0.6479041916167665,"3% раствор перекиси водорода недостаточен, чтобы убить все бактерии в ране",False,disputed,true,0.6666666666666666,0.1111111111111111,0.7725068857142601
103,false,0.5783847980997625,0.6163895486935868,3% раствор перекиси водорода полностью обеззараживает любую раны,True,false,false,0.625,0.25,0.8194483718728035
104,true,0.516245487364621,0.6919374247894103,манту можно мочить,False,disputed,true,0.6666666666666666,0.0,0.5793801642856949
105,true,0.03942652329749104,0.04062126642771804,"туберкулез поражает не только легкие, но и другие ткани организма",True,true,true,1.0,0.0,-0.0
107,false,0.19547079856972585,0.2133492252681764,собачье мясо лечит туберкулез,True,false,false,1.0,0.0,-0.0
